"","Date","dxy","gold"
"1357",2014-08-19,81.879997253418,1295.09997558594
"1358",2014-08-20,82.25,1293.40002441406
"1359",2014-08-21,82.1500015258789,1273.69995117188
"1360",2014-08-22,82.3399963378906,1278.59997558594
"1361",2014-08-25,82.5500030517578,1277.30004882812
"1362",2014-08-26,82.6500015258789,1283.80004882812
"1363",2014-08-27,82.4300003051758,1281.90002441406
"1364",2014-08-28,82.4800033569336,1288.69995117188
"1365",2014-08-29,82.75,1285.80004882812
"1366",2014-09-02,82.9899978637695,1263.69995117188
"1367",2014-09-03,82.870002746582,1268.90002441406
"1368",2014-09-04,83.8199996948242,1265.09997558594
"1369",2014-09-05,83.7600021362305,1265.80004882812
"1370",2014-09-08,84.2300033569336,1252.69995117188
"1371",2014-09-09,84.2799987792969,1246.80004882812
"1372",2014-09-10,84.25,1243.5
"1373",2014-09-11,84.3000030517578,1237.40002441406
"1374",2014-09-12,84.2399978637695,1229.90002441406
"1375",2014-09-15,84.2600021362305,1233.59997558594
"1376",2014-09-16,84.0699996948242,1235.19995117188
"1377",2014-09-17,84.6999969482422,1234.40002441406
"1378",2014-09-18,84.3199996948242,1225.69995117188
"1379",2014-09-19,84.8000030517578,1215.30004882812
"1380",2014-09-22,84.6699981689453,1216.80004882812
"1381",2014-09-23,84.6600036621094,1221
"1382",2014-09-24,85.0500030517578,1218.59997558594
"1383",2014-09-25,85.1999969482422,1221.19995117188
"1384",2014-09-26,85.6399993896484,1214.09997558594
"1385",2014-09-29,85.5899963378906,1217.5
"1386",2014-09-30,85.9400024414062,1210.5
"1387",2014-10-01,85.9700012207031,1214.59997558594
"1388",2014-10-02,85.5999984741211,1214.19995117188
"1389",2014-10-03,86.6900024414062,1192.19995117188
"1390",2014-10-06,85.7099990844727,1206.69995117188
"1391",2014-10-07,85.6699981689453,1211.69995117188
"1392",2014-10-08,85.3000030517578,1205.30004882812
"1393",2014-10-09,85.5199966430664,1224.59997558594
"1394",2014-10-10,85.9100036621094,1221
"1395",2014-10-13,85.4300003051758,1229.30004882812
"1396",2014-10-14,85.8199996948242,1233.59997558594
"1397",2014-10-15,85.1500015258789,1244.09997558594
"1398",2014-10-16,85,1240.5
"1399",2014-10-17,85.1900024414062,1238.30004882812
"1400",2014-10-20,84.9499969482422,1244
"1401",2014-10-21,85.3099975585938,1251
"1402",2014-10-22,85.7399978637695,1244.80004882812
"1403",2014-10-23,85.8399963378906,1228.5
"1404",2014-10-24,85.7300033569336,1231.19995117188
"1405",2014-10-27,85.5,1229.09997558594
"1406",2014-10-28,85.4100036621094,1229.19995117188
"1407",2014-10-29,85.9499969482422,1224.30004882812
"1408",2014-10-30,86.1500015258789,1198.09997558594
"1409",2014-10-31,86.879997253418,1171.09997558594
"1410",2014-11-03,87.3099975585938,1169.40002441406
"1411",2014-11-04,86.9800033569336,1167.40002441406
"1412",2014-11-05,87.4400024414062,1145.40002441406
"1413",2014-11-06,88.0100021362305,1142.30004882812
"1414",2014-11-07,87.6399993896484,1169.59997558594
"1415",2014-11-10,87.8099975585938,1159.59997558594
"1416",2014-11-11,87.5299987792969,1162.80004882812
"1417",2014-11-12,87.8199996948242,1158.90002441406
"1418",2014-11-13,87.6699981689453,1161.09997558594
"1419",2014-11-14,87.5299987792969,1185
"1420",2014-11-17,87.9300003051758,1183
"1421",2014-11-18,87.5800018310547,1196.69995117188
"1422",2014-11-19,87.6500015258789,1193.59997558594
"1423",2014-11-20,87.5899963378906,1190.69995117188
"1424",2014-11-21,88.3099975585938,1197.5
"1425",2014-11-24,88.1500015258789,1195.5
"1426",2014-11-25,87.9199981689453,1197.09997558594
"1427",2014-11-26,87.6100006103516,1196.59997558594
"1428",2014-11-28,88.3600006103516,1175.19995117188
"1429",2014-12-01,87.9499969482422,1218
